,Category,Group,Pathway,Description
42,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT3G08590 iPGAM2; Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent	K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
43,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G50520 Phosphoglycerate mutase family protein	K15634 gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
44,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G74030 ENO1; enolase 1	K01689 ENO; enolase [EC:4.2.1.11]
45,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G36530 LOS2; Enolase	K01689 ENO; enolase [EC:4.2.1.11]
46,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G29560 ENOC; cytosolic enolase	K01689 ENO; enolase [EC:4.2.1.11]
47,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G04050 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
48,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G52920 PKP-BETA1; plastidic pyruvate kinase beta subunit 1	K00873 PK; pyruvate kinase [EC:2.7.1.40]
49,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G56350 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
50,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G25960 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
51,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G52990 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
52,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G55650 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
53,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G55810 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
54,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G08570 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
55,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G63680 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
56,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G26390 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
57,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G32440 PKp3; plastidial pyruvate kinase 3	K00873 PK; pyruvate kinase [EC:2.7.1.40]
58,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G49160 pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
59,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G22960 PKP-ALPHA; Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
60,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G36580 Pyruvate kinase family protein	K00873 PK; pyruvate kinase [EC:2.7.1.40]
61,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G59900 E1_ALPHA; pyruvate dehydrogenase complex E1 alpha subunit	K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
62,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G01090 PDH-E1_ALPHA; pyruvate dehydrogenase E1 alpha	K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
63,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G24180 IAR4; Thiamin diphosphate-binding fold (THDP-binding) superfamily protein	K00161 PDHA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
64,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G50850 MAB1; Transketolase family protein	K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
65,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G34590 Transketolase family protein	K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
66,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G30120 PDH-E1_BETA; pyruvate dehydrogenase E1 beta	K00162 PDHB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
67,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G34430 EMB3003; 2-oxoacid dehydrogenases acyltransferase family protein	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
68,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT3G52200 LTA3; Dihydrolipoamide acetyltransferase, long form protein	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
69,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G54220 Dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
70,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G13930 Dihydrolipoamide acetyltransferase	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
71,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G25860 LTA2; 2-oxoacid dehydrogenases acyltransferase family protein	K00627 DLAT; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
72,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G17240 mtLPD2; lipoamide dehydrogenase 2	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
73,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G16950 LPD1; lipoamide dehydrogenase 1	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
74,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G48030 mtLPD1; mitochondrial lipoamide dehydrogenase 1	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
75,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G16155 dihydrolipoamide dehydrogenase	K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
76,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G17260 Lactate/malate dehydrogenase family protein	K00016 LDH; L-lactate dehydrogenase [EC:1.1.1.27]
77,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G33070 Thiamine pyrophosphate dependent pyruvate decarboxylase family protein	K01568 PDC; pyruvate decarboxylase [EC:4.1.1.1]
78,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G01320 Thiamine pyrophosphate dependent pyruvate decarboxylase family protein	K01568 PDC; pyruvate decarboxylase [EC:4.1.1.1]
79,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G01330 PDC3; pyruvate decarboxylase-3	K01568 PDC; pyruvate decarboxylase [EC:4.1.1.1]
80,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G54960 PDC2; pyruvate decarboxylase-2	K01568 PDC; pyruvate decarboxylase [EC:4.1.1.1]
81,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G22440 Zinc-binding alcohol dehydrogenase family protein	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
82,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G42250 Zinc-binding alcohol dehydrogenase family protein	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
83,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G43940 HOT5; GroES-like zinc-binding dehydrogenase family protein	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
84,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G22110 GroES-like zinc-binding dehydrogenase family protein	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
85,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G22430 GroES-like zinc-binding dehydrogenase family protein	K00121 frmA; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
86,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G77120 ADH1; alcohol dehydrogenase 1	K18857 ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
87,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G32780 GroES-like zinc-binding dehydrogenase family protein	K00001 E1.1.1.1; alcohol dehydrogenase [EC:1.1.1.1]
88,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G24760 GroES-like zinc-binding dehydrogenase family protein	K00001 E1.1.1.1; alcohol dehydrogenase [EC:1.1.1.1]
89,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G64710 GroES-like zinc-binding alcohol dehydrogenase family protein	K00001 E1.1.1.1; alcohol dehydrogenase [EC:1.1.1.1]
90,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G23800 ALDH2B7; aldehyde dehydrogenase 2B7	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
91,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G48000 ALDH2B4; aldehyde dehydrogenase 2B4	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
92,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G34240 ALDH3I1; aldehyde dehydrogenase 3I1	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
93,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G44170 ALDH3H1; aldehyde dehydrogenase 3H1	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
94,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G36250 ALDH3F1; aldehyde dehydrogenase 3F1	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
95,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G54100 ALDH7B4; aldehyde dehydrogenase 7B4	K14085 ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
96,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G36880 ACS; acetyl-CoA synthetase	K01895 ACSS1_2; acetyl-CoA synthetase [EC:6.2.1.1]
97,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G16910 AAE7; acyl-activating enzyme 7	K01913 AAE7; acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]
98,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G17940 Galactose mutarotase-like superfamily protein	K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
99,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G47800 Galactose mutarotase-like superfamily protein	K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
100,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G15140 Galactose mutarotase-like superfamily protein	K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
101,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G01260 Galactose mutarotase-like superfamily protein	K01785 galM; aldose 1-epimerase [EC:5.1.3.3]
102,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G51820 PGM; phosphoglucomutase	K01835 pgm; phosphoglucomutase [EC:5.4.2.2]
103,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G23190 PGM3; Phosphoglucomutase/phosphomannomutase family protein	K01835 pgm; phosphoglucomutase [EC:5.4.2.2]
104,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT1G70730 PGM2; Phosphoglucomutase/phosphomannomutase family protein	K01835 pgm; phosphoglucomutase [EC:5.4.2.2]
105,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G23730 Galactose mutarotase-like superfamily protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
106,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G61610 Galactose mutarotase-like superfamily protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
107,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT3G01590 Galactose mutarotase-like superfamily protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
108,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G57330 Galactose mutarotase-like superfamily protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
109,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G14500 aldose 1-epimerase family protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
110,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT4G25900 Galactose mutarotase-like superfamily protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
111,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G66530 Galactose mutarotase-like superfamily protein	K01792 E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
112,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],"AT1G09870 histidine acid phosphatase family protein	K03103 MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
113,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT2G24270 ALDH11A3; aldehyde dehydrogenase 11A3	K00131 gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
114,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ath00010],AT5G65690 PCK2; phosphoenolpyruvate carboxykinase 2	K01610 E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
